"","frtn","rf"
"1988-07-08",0.00216283,0.0002642857
"1988-07-11",-0.009865886,0.0002623016
"1988-07-12",0.005604858,0.0002670635
"1988-07-13",0.003638334,0.0002666667
"1988-07-14",0.006787505,0.0002670635
"1988-07-15",-0.005515973,0.0002666667
"1988-07-18",-0.007395424,0.0002642857
"1988-07-19",0.005820722,0.0002654762
"1988-07-20",-0.01219136,0.0002662698
"1988-07-21",-0.01171692,0.0002690476
"1988-07-22",0.004663294,0.0002674603
"1988-07-25",0.002045472,0.0002698413
"1988-07-26",-0.009970951,0.0002734127
"1988-07-27",0.01356067,0.0002777778
"1988-07-28",0.02268993,0.000277381
"1988-07-29",0.0008415576,0.0002757937
"1988-08-01",-0.0004586455,0.0002742063
"1988-08-02",0.003517895,0.0002738095
"1988-08-03",-0.003657979,0.0002738095
"1988-08-04",-0.002753557,0.0002714286
"1988-08-05",-0.00414174,0.0002746032
"1988-08-08",-0.01278497,0.0002714286
"1988-08-09",-0.01708535,0.0002801587
"1988-08-10",0.003412969,0.000277381
"1988-08-11",-0.0006328113,0.0002781746
"1988-08-12",-0.01456388,0.0002781746
"1988-08-15",0.007389558,0.000277381
"1988-08-16",0.0009567852,0.0002801587
"1988-08-17",0.001115182,0.0002789683
"1988-08-18",-0.002864418,0.0002785714
"1988-08-19",-0.01236834,0.0002801587
"1988-08-22",0.0005655652,0.0002801587
"1988-08-23",0.01590762,0.000284127
"1988-08-24",-0.007312614,0.0002849206
"1988-08-25",0.002081832,0.0002876984
"1988-08-26",0.01030763,0.000290873
"1988-08-29",0.0008699779,0.0002904762
"1988-08-30",-0.003634927,0.0002896825
"1988-08-31",-0.01197557,0.0002896825
"1988-09-01",0.02392037,0.0002888889
"1988-09-02",0.004311696,0.0002865079
"1988-09-06",0.001248927,0.0002880952
"1988-09-07",0.0001559211,0.000290873
"1988-09-08",0.003741523,0.0002904762
"1988-09-09",-0.001242525,0.0002888889
"1988-09-12",0.003732214,0.0002869048
"1988-09-13",0.007204276,0.0002845238
"1988-09-14",-0.004230118,0.000284127
"1988-09-15",0.009577508,0.0002845238
"1988-09-16",-0.006655956,0.0002837302
"1988-09-19",0.003542822,0.0002829365
"1988-09-20",0.001765157,0.0002857143
"1988-09-21",-0.003524094,0.0002853175
"1988-09-22",0.00230645,0.0002857143
"1988-09-23",-0.003144895,0.0002869048
"1988-09-26",-0.002154509,0.0002896825
"1988-09-27",0.003238742,0.000290873
"1988-09-28",0.01314374,0.0002912698
"1988-09-29",-0.00235187,0.0002892857
"1988-09-30",-0.001749049,0.0002876984
"1988-10-03",-0.00266626,0.0002873016
"1988-10-04",0.004735716,0.0002869048
"1988-10-05",0.002052608,0.0002865079
"1988-10-06",0.0210151,0.0002896825
"1988-10-07",0.0007430525,0.0002884921
"1988-10-10",-0.000965251,0.0002884921
"1988-10-11",-0.01404682,0.0002892857
"1988-10-12",0.004673602,0.0002888889
"1988-10-13",0.00112545,0.0002912698
"1988-10-14",0.003447501,0.0002904762
"1988-10-17",0.01090447,0.000290873
"1988-10-18",-0.008496491,0.0002920635
"1988-10-19",0.02146051,0.0002948413
"1988-10-20",0.002918004,0.0002956349
"1988-10-21",-0.00472796,0.0002952381
"1988-10-24",0.0005115837,0.0002980159
"1988-10-25",-0.003433163,0.0002952381
"1988-10-26",-0.01436634,0.0002940476
"1988-10-27",0.004610694,0.0002928571
"1988-10-28",0.001702569,0.0002924603
"1988-10-31",0.0005172923,0.0002920635
"1988-11-01",0.0001477214,0.0002912698
"1988-11-02",0.0005907983,0.0002924603
"1988-11-03",-0.01018525,0.0002936508
"1988-11-04",-0.008500485,0.0002956349
"1988-11-07",0.004587501,0.0002968254
"1988-11-08",-0.00643809,0.0003011905
"1988-11-09",0.001431585,0.0003003968
"1988-11-10",-0.02091641,0.0003031746
"1988-11-11",-0.0006147698,0.0003031746
"1988-11-14",0.002460592,0.0003087302
"1988-11-15",-0.01664493,0.0003154762
"1988-11-16",0.003120125,0.0003150794
"1988-11-17",0.007153966,0.0003142857
"1988-11-18",-0.0007720815,0.0003150794
"1988-11-21",0.003863391,0.0003170635
"1988-11-22",0.006850369,0.0003174603
"1988-11-23",-0.006421527,0.0003178571
"1988-11-25",0.005462799,0.0003186508
"1988-11-28",0.008570554,0.0003166667
"1988-11-29",0.01047041,0.0003170635
"1988-11-30",-0.004279922,0.0003107143
"1988-12-01",-0.002337682,0.0003115079
"1988-12-02",0.01164021,0.0003202381
"1988-12-05",0.009787806,0.0003178571
"1988-12-06",0.002071772,0.0003154762
"1988-12-07",-0.005464077,0.0003170635
"1988-12-08",0.001856114,0.0003166667
"1988-12-09",-0.001704461,0.0003126984
"1988-12-12",-0.0005938683,0.0003134921
"1988-12-13",-0.00349105,0.0003214286
"1988-12-14",-0.003577818,0.0003222222
"1988-12-15",0.007480551,0.000325
"1988-12-16",0.00957826,0.0003238095
"1988-12-19",-0.005001103,0.000325
"1988-12-20",-0.0001478306,0.0003246032
"1988-12-21",-0.001700303,0.0003214286
"1988-12-22",0.003702607,0.0003194444
"1988-12-23",-0.00354139,0.0003194444
"1988-12-27",0.001036576,0.0003234127
"1988-12-28",0.008505917,0.0003277778
"1988-12-29",-0.005867253,0.000322619
"1988-12-30",-0.008557728,0.0003214286
"1989-01-03",0.0151797,0.0003230159
"1989-01-04",0.00219893,0.000327381
"1989-01-05",0.002486653,0.0003281746
"1989-01-06",0.001240242,0.0003289683
"1989-01-09",-0.001967356,0.0003285714
"1989-01-10",0.005913704,0.0003293651
"1989-01-11",0.004282189,0.0003269841
"1989-01-12",0.00260172,0.0003277778
"1989-01-13",0.001153319,0.0003257937
"1989-01-16",-0.001943984,0.0003257937
"1989-01-17",0.01060453,0.0003269841
"1989-01-18",0.001427654,0.0003277778
"1989-01-19",-0.0007840901,0.0003265873
"1989-01-20",-0.007276359,0.0003269841
"1989-01-23",0.01415637,0.0003281746
"1989-01-24",0.002409126,0.0003257937
"1989-01-25",0.008977168,0.0003289683
"1989-01-26",0.007426089,0.0003309524
"1989-01-27",0.004102921,0.0003305556
"1989-01-30",0.008587852,0.0003285714
"1989-01-31",-0.001167342,0.0003329365
"1989-02-01",-0.0006874742,0.0003321429
"1989-02-02",0.0005503577,0.0003325397
"1989-02-03",-0.002956546,0.0003365079
"1989-02-06",0.01227502,0.0003384921
"1989-02-07",-0.003133728,0.0003384921
"1989-02-08",-0.008542336,0.0003384921
"1989-02-09",-0.01350979,0.0003365079
"1989-02-10",0.0019564,0.0003392857
"1989-02-13",-0.00237099,0.0003392857
"1989-02-14",0.00845799,0.0003396825
"1989-02-15",0.002079434,0.0003369048
"1989-02-16",0.006778723,0.0003373016
"1989-02-17",-0.002473377,0.0003365079
"1989-02-21",-0.01701219,0.0003361111
"1989-02-22",0.004063901,0.0003384921
"1989-02-23",-0.0166783,0.0003416667
"1989-02-24",0.002554822,0.000343254
"1989-02-27",0.003751681,0.0003444444
"1989-02-28",-0.005923836,0.0003456349
"1989-03-01",0.01000284,0.0003436508
"1989-03-02",0.00442509,0.0003436508
"1989-03-03",0.01258741,0.0003424603
"1989-03-06",-0.003038674,0.0003400794
"1989-03-07",0.0008312552,0.0003420635
